dataset,model,accuracy,f1_score,roc_auc,n_features_used
BreastCanDT,RF,0.938596,0.937684,0.989914,500
BreastCanDT,RF_sqrtp,0.938596,0.937684,0.989914,500
BreastCanDT,RF_logp,0.938596,0.937229,0.992394,subset
BreastCanDT,ET,0.929825,0.927978,0.993552,500
BreastCanDT,Boosting,0.95614,0.955776,0.99537,500
BreastCanDT,Lasso,0.964912,0.965208,0.995701,subset
BreastCanDT,RLT,0.938596,0.937229,,subset
sonar,RF,0.833333,0.828877,0.887872,500
sonar,RF_sqrtp,0.833333,0.828877,0.887872,500
sonar,RF_logp,0.714286,0.703984,0.885584,subset
sonar,ET,0.738095,0.734888,0.894737,500
sonar,Boosting,0.785714,0.775672,0.906178,500
sonar,Lasso,0.547619,0.387546,0.5,subset
sonar,RLT,0.809524,0.802656,,subset
ReplicatedAcousticFeatures-ParkinsonDatabase,RF,0.854167,0.853595,0.934028,500
ReplicatedAcousticFeatures-ParkinsonDatabase,RF_sqrtp,0.854167,0.853595,0.934028,500
ReplicatedAcousticFeatures-ParkinsonDatabase,RF_logp,0.895833,0.895425,0.923611,subset
ReplicatedAcousticFeatures-ParkinsonDatabase,ET,0.895833,0.895425,0.938368,500
ReplicatedAcousticFeatures-ParkinsonDatabase,Boosting,0.791667,0.79021,0.892361,500
ReplicatedAcousticFeatures-ParkinsonDatabase,Lasso,0.5,0.333333,0.5,subset
ReplicatedAcousticFeatures-ParkinsonDatabase,RLT,0.875,0.874126,,subset
